metros_cuadrados,baños,habitaciones,material,modelo,empresa,precio
169.0,2.0,4.0,madera,Modelo 239,GSI Constructora,
70.0,2.0,2.0,acero,Modelo 70002,Pro-Gal Construcciones Prefabricadas,70000.0
269.0,4.0,3.0,madera,Modelo 1269,GSI Constructora,
80.0,1.0,2.0,hormigón,Modelo T1,"Forpol Estructuras, S.L.",104000.0
165.0,2.0,3.0,acero,Galileo,Oyrsa Modular,
35.0,1.0,2.0,madera,Mohma Compact,Woodville,55000.0
140.0,2.0,4.0,madera,Casa 140,Madercás,
120.0,3.0,3.0,acero,Serie Victoria,DE40 PIES. Casas Container,
236.0,3.0,3.0,madera,Modelo TKM-211,Tokamadera,342200.0
349.0,2.0,3.0,madera,Barcelona,LuxServis Eco Edificaciones,349000.0
209.0,2.0,4.0,acero,Modelo 2P T4 R05,Modiko,
174.0,2.0,3.0,madera,Suomi,Casastar,
47.0,1.0,2.0,madera,Sella,Alucasa,61480.0
176.0,2.0,4.0,madera,Saturn,TUCASAECO SOSTENIBLE,
44.0,1.0,2.0,acero,Family,KEU,80000.0
165.0,2.0,3.0,"acero,hormigón",Tundra 3D,Atlántida Homes,353500.0
221.0,2.0,4.0,acero,Modelo 1P T4 R03,Modiko,
120.0,2.0,4.0,"acero,hormigón",Casa 3,La Fabrica de Casas,
130.0,3.0,4.0,madera,Barcelona,Casas Prefabricadas López S.L.,
205.0,3.0,4.0,acero,Modelo Passivhaus 205,CSO ARQUITECTURA,329500.0
72.0,1.0,1.0,acero,Conjunto Modular 11x8m,Digavasa,
55.0,1.0,2.0,madera,Modelo 55003,Pro-Gal Construcciones Prefabricadas,55000.0
340.0,3.0,4.0,madera,Modelo 285,GSI Constructora,
180.0,3.0,5.0,acero,Serie Pacífico,DE40 PIES. Casas Container,
171.0,3.0,4.0,madera,Arucas,Madelar,
218.0,2.0,3.0,hormigón,MODELO M1,"Forpol Estructuras, S.L.",228078.0
93.0,1.0,3.0,madera,Azul 93,Madercás,
130.0,1.0,3.0,madera,Huesca,Casas Prefabricadas López S.L.,
55.0,1.0,2.0,hormigón,Alisio Porche,Modunova,
124.0,2.0,4.0,madera,Gerda,Mi Casa de Madera,153868.0
367.0,2.0,4.0,madera,Prestigio,Kolbeg,568850.0
131.0,2.0,3.0,madera,WES121P1,WES,195000.0
120.0,2.0,3.0,madera,San Sebastián,Mi Casa de Madera,149710.0
135.0,2.0,3.0,madera,Tamaduste,Madelar,
171.0,3.0,3.0,madera,Modelo TKM-207,Tokamadera,247950.0
54.0,1.0,2.0,madera,Ingrid,Mi Casa de Madera,42471.0
200.0,2.0,3.0,acero,Modelo 200001,Pro-Gal Construcciones Prefabricadas,200000.0
72.0,1.0,2.0,"acero,hormigón",La Manga,Home Center,66460.0
100.0,2.0,3.0,acero,Especial,Cases Caliu,
141.0,2.0,3.0,acero,Modelo 1P T3 R03,Modiko,
178.0,3.0,4.0,hormigón,Casa Hormipresa L1,Hormipresa Living,249200.0
60.0,1.0,2.0,madera,Barcelona,Mi Casa de Madera,78430.0
100.0,2.0,3.0,acero,Modelo 1,ACASATEVA,120000.0
219.0,3.0,3.0,madera,WES206P2,WES,291500.0
110.0,1.0,2.0,acero,Gala,Casas Prefabricadas López S.L.,
20.0,1.0,1.0,"acero,madera",ST MTB T,Steel Hous,
221.0,2.0,3.0,acero,Modelo 1P T4 L05,Modiko,
300.0,5.0,4.0,acero,Eco-Acua,Acero Eco Home,
175.0,2.0,3.0,madera,WES165P1,WES,264500.0
170.0,2.0,3.0,madera,Tigalate,Madelar,
349.0,3.0,4.0,madera,Victoria,Casastar,
70.0,1.0,3.0,acero,Modelo 70001,Pro-Gal Construcciones Prefabricadas,70000.0
158.0,2.0,3.0,acero,Modelo 1P T3 L01,Modiko,
80.0,1.0,3.0,madera,Taburiente,Madelar,
179.0,1.0,3.0,madera,Domus M,TUCASAECO SOSTENIBLE,
35.0,1.0,2.0,madera,Noa,Alucasa,53840.0
112.0,2.0,2.0,madera,Casa prefabricada 112,Norges Hus,
298.0,3.0,5.0,madera,Clave,Casastar,
68.0,1.0,3.0,madera,Modelo CM 20,Casas Nuevas Low Cost,56800.0
70.0,1.0,2.0,madera,Pamplona,Mi Casa de Madera,84910.0
349.0,3.0,4.0,madera,Victoria,Casastar,
75.0,1.0,3.0,madera,A – Young+,Maslow Homes,
148.0,1.0,1.0,madera,Piter,Kolbeg,229400.0
98.0,1.0,2.0,madera,Elisa,Mi Casa de Madera,115376.0
239.0,2.0,4.0,acero,Modelo 1P T4 L03,Modiko,
